Naam;Afkorting;Adviescollege Scope;Actief vanaf;Kaderwet van toepassing;Classificaties;Register van overheidsorganisaties URL;Adviescollege URL;TOOI-URI
Deskundigengroep dierziekten;;Permanent;24-9-2013;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391611/Deskundigengroep_dierziekten;https://www.deskundigengroepdierziekten.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10194
Adviescommissie duurzame scheepsbouw;;Permanent;15-7-2017;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391501/Adviescommissie_duurzame_scheepsbouw;https://www.rvo.nl/subsidies-financiering/sds;https://identifier.overheid.nl/tooi/id/oorg/oorg10183
Commissie onderzoek naar Binnenlandse Afstand en Adoptie;CBAA;Tijdelijk;1-10-2022;Nee;woo;https://organisaties.overheid.nl/29516075/Commissie_onderzoek_naar_Binnenlandse_Afstand_en_Adoptie;https://cbaa.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg12358
Commissie beëdigde tolken en vertalers;;Permanent;1-1-2009;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28351170/Commissie_beedigde_tolken_en_vertalers;https://www.bureauwbtv.nl/commissies/commissie-btv/;https://identifier.overheid.nl/tooi/id/oorg/oorg10109
Raad voor de leefomgeving en infrastructuur;Rli;Permanent;11-2-2012;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28211375/Raad_voor_de_leefomgeving_en_infrastructuur;https://www.rli.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10261
Adviescommissie richtlijn passend bewijs preventie;;Eenmalig;11-4-2025;Nee;;https://organisaties.overheid.nl/30272436/Adviescommissie_richtlijn_passend_bewijs_preventie;;https://identifier.overheid.nl/tooi/id/oorg/oorg12384
Kiesraad;;Permanent;1-1-1951;Ja;cao, overheidswerkgever, pensioenfonds, woo;https://organisaties.overheid.nl/28212627/Kiesraad;https://www.kiesraad.nl;https://identifier.overheid.nl/tooi/id/zbo/zb000174
Gezondheidsraad;GR;Permanent;1-12-1957;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/66175/Gezondheidsraad;https://www.gezondheidsraad.nl;https://identifier.overheid.nl/tooi/id/oorg/oorg10218
Raad voor het Openbaar Bestuur;ROB;Permanent;1-1-1997;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/10432/Raad_voor_het_Openbaar_Bestuur;https://www.raadopenbaarbestuur.nl;https://identifier.overheid.nl/tooi/id/oorg/oorg10166
Adviescollege Openbaarheid en Informatiehuishouding;ACOI;Permanent;1-5-2022;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28532131/Adviescollege_Openbaarheid_en_Informatiehuishouding;https://www.acoi.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10236
